src,dst,relationship,cost
Madrid,Barcelona,EROAD,657
Madrid,Valencia,EROAD,393
Madrid,Sevilla,EROAD,507
Madrid,Zaragoza,EROAD,355
Madrid,Málaga,EROAD,540
Madrid,Murcia,EROAD,454
Madrid,Palma,EROAD,714
Madrid,Las Palmas de Gran Canaria,EROAD,2259
Madrid,Bilbao,EROAD,420
Madrid,Alicante,EROAD,467
Madrid,Córdoba,EROAD,385
Madrid,Valladolid,EROAD,210
Madrid,Vigo,EROAD,605
Madrid,Gijón,EROAD,497
Madrid,Hospitalet de Llobregat,EROAD,651
Madrid,Vitoria-Gasteiz,EROAD,368
Madrid,La Coruña,EROAD,662
Madrid,Granada,EROAD,468
Madrid,Elche,EROAD,456
Madrid,Oviedo,EROAD,484
Madrid,Santa Cruz de Tenerife,EROAD,2281
Madrid,Pamplona,EROAD,412
Madrid,Almería,EROAD,535
Madrid,Albacete,EROAD,290
Barcelona,Valencia,EROAD,394
Barcelona,Sevilla,EROAD,1078
Barcelona,Zaragoza,EROAD,334
Barcelona,Málaga,EROAD,1001
Barcelona,Murcia,EROAD,613
Barcelona,Palma,EROAD,268
Barcelona,Las Palmas de Gran Canaria,EROAD,2827
Barcelona,Bilbao,EROAD,610
Barcelona,Alicante,EROAD,529
Barcelona,Córdoba,EROAD,924
Barcelona,Valladolid,EROAD,747
Barcelona,Vigo,EROAD,1179
Barcelona,Gijón,EROAD,891
Barcelona,Hospitalet de Llobregat,EROAD,7
Barcelona,Vitoria-Gasteiz,EROAD,561
Barcelona,La Coruña,EROAD,1165
Barcelona,Granada,EROAD,887
Barcelona,Elche,EROAD,553
Barcelona,Oviedo,EROAD,902
Barcelona,Santa Cruz de Tenerife,EROAD,2863
Barcelona,Pamplona,EROAD,459
Barcelona,Almería,EROAD,838
Barcelona,Albacete,EROAD,564
Valencia,Sevilla,EROAD,703
Valencia,Zaragoza,EROAD,320
Valencia,Málaga,EROAD,608
Valencia,Murcia,EROAD,230
Valencia,Palma,EROAD,338
Valencia,Las Palmas de Gran Canaria,EROAD,2436
Valencia,Bilbao,EROAD,614
Valencia,Alicante,EROAD,163
Valencia,Córdoba,EROAD,547
Valencia,Valladolid,EROAD,572
Valencia,Vigo,EROAD,996
Valencia,Gijón,EROAD,820
Valencia,Hospitalet de Llobregat,EROAD,388
Valencia,Vitoria-Gasteiz,EROAD,548
Valencia,La Coruña,EROAD,1036
Valencia,Granada,EROAD,493
Valencia,Elche,EROAD,178
Valencia,Oviedo,EROAD,817
Valencia,Santa Cruz de Tenerife,EROAD,2474
Valencia,Pamplona,EROAD,503
Valencia,Almería,EROAD,448
Valencia,Albacete,EROAD,180
Sevilla,Zaragoza,EROAD,838
Sevilla,Málaga,EROAD,205
Sevilla,Murcia,EROAD,562
Sevilla,Palma,EROAD,1026
Sevilla,Las Palmas de Gran Canaria,EROAD,1763
Sevilla,Bilbao,EROAD,913
Sevilla,Alicante,EROAD,642
Sevilla,Córdoba,EROAD,156
Sevilla,Valladolid,EROAD,632
Sevilla,Vigo,EROAD,764
Sevilla,Gijón,EROAD,889
Sevilla,Hospitalet de Llobregat,EROAD,1072
Sevilla,Vitoria-Gasteiz,EROAD,869
Sevilla,La Coruña,EROAD,904
Sevilla,Granada,EROAD,276
Sevilla,Elche,EROAD,615
Sevilla,Oviedo,EROAD,863
Sevilla,Santa Cruz de Tenerife,EROAD,1791
Sevilla,Pamplona,EROAD,919
Sevilla,Almería,EROAD,413
