id,latitude,longitude,population
Madrid,40.416775,-3.70379,3223000
Barcelona,41.385064,2.173404,1620000
Valencia,39.469907,-0.376288,791000
Sevilla,37.389092,-5.984459,688000
Zaragoza,41.648823,-0.889085,666000
Málaga,36.721261,-4.421266,578000
Murcia,37.99224,-1.130654,447000
Palma,39.5696,2.65016,416000
Las Palmas de Gran Canaria,28.123546,-15.436257,378000
Bilbao,43.263012,-2.934985,346000
Alicante,38.345996,-0.490686,334000
Córdoba,37.888175,-4.779383,326000
Valladolid,41.652252,-4.724532,300000
Vigo,42.240599,-8.720727,295000
Gijón,43.532202,-5.66112,273000
Hospitalet de Llobregat,41.366186,2.116494,257000
Vitoria-Gasteiz,42.846718,-2.673635,249000
La Coruña,43.362344,-8.41154,244000
Granada,37.177336,-3.598557,232000
Elche,38.269933,-0.712561,230000
Oviedo,43.36029,-5.84476,220000
Santa Cruz de Tenerife,28.46363,-16.251847,207000
Pamplona,42.812526,-1.645775,200000
Almería,36.840164,-2.467922,196000
Albacete,38.99435,-1.858542,173000
